Driver,Car_Number,Team,Component_Type,Count,Limit,As_Of_Race,As_Of_Date,Source_Set
HAM,44,Ferrari,PU-ANC,1,6,Japanese Grand Prix,2026-03-28,australia-china-japan
ALB,23,Atlassian Williams Mercedes,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
ALB,23,Atlassian Williams Mercedes,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
ALB,23,Atlassian Williams Mercedes,EXH,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
ALB,23,Atlassian Williams Mercedes,MGU-K,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
ALB,23,Atlassian Williams Mercedes,ES,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
ALB,23,Atlassian Williams Mercedes,PU-CE,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
ALB,23,Atlassian Williams Mercedes,PU-ANC,1,6,Japanese Grand Prix,2026-03-28,australia-china-japan
SAI,55,Atlassian Williams Mercedes,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
SAI,55,Atlassian Williams Mercedes,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
SAI,55,Atlassian Williams Mercedes,EXH,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
SAI,55,Atlassian Williams Mercedes,MGU-K,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
SAI,55,Atlassian Williams Mercedes,ES,2,3,Japanese Grand Prix,2026-03-28,australia-china-japan
SAI,55,Atlassian Williams Mercedes,PU-CE,2,3,Japanese Grand Prix,2026-03-28,australia-china-japan
SAI,55,Atlassian Williams Mercedes,PU-ANC,2,6,Japanese Grand Prix,2026-03-28,australia-china-japan
LIN,41,Racing Bulls RB Ford,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
LIN,41,Racing Bulls RB Ford,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
LIN,41,Racing Bulls RB Ford,EXH,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
